name,url,description,adaptive_support,remote_support,duration,test_type
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,"ADO.NET (New): Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects.",No,Yes,30,['Knowledge & Skills']
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,Bilingual Spanish Reservation Agent Solution: The Bilingual Reservation Agent solution is designed for customer centered entry-level positions within the hospitality industry. Sample tasks may include…,No,Yes,30,['Knowledge & Skills']
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,Agency Manager Solution: The Agency Manager solution is for mid-level sales management positions that include front line management and sales responsibilities. Sample tasks for this…,No,Yes,30,['Knowledge & Skills']
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,Bank Administrative Assistant - Short Form: The Administrative Assistant solution is for entry-level clerical positions that interact with external or internal customers. Sample tasks for these jobs…,No,Yes,30,['Knowledge & Skills']
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,".NET Framework 4.5: The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application…",No,Yes,30,['Knowledge & Skills']
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,".NET WPF (New): Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF…",No,Yes,30,['Knowledge & Skills']
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,"Apprentice + 8.0 Job Focused Assessment: The Apprentice + 8.0 Job-Focused Assessment is a short, targeted, globally applicable assessment which includes a short cognitive ability measure. This…",No,Yes,30,['Knowledge & Skills']
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,"Accounts Payable (New): Multiple-choice test that measures the knowledge of processing payables and vendor invoices, and the posting of journal entries.",No,Yes,30,['Knowledge & Skills']
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,"Bookkeeping, Accounting, Auditing Clerk Short Form: The Bookkeeping, Accounting, and Auditing Clerk solution is for entry-level positions that involve entering numerical data into computer systems and…",No,Yes,30,['Knowledge & Skills']
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,Administrative Professional - Short Form: The Administrative Professional solution is for entry to mid-level positions that involve routine clerical and administrative functions in addition to office…,No,Yes,30,['Knowledge & Skills']
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,".NET XAML (New): Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts.",No,Yes,30,['Knowledge & Skills']
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,Account Manager Solution : The Account Manager solution is an assessment used for job candidates applying to mid-level leadership positions that tend to manage the day-to-day operations…,No,Yes,30,['Knowledge & Skills']
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,Branch Manager - Short Form: This solution is for mid to upper-level financial institution managerial positions. Candidates answer a series of multiple choice questions to measure…,No,Yes,30,['Knowledge & Skills']
